# time        	displacement	uncertainty 
0.000000e+00	3.139919e-01	7.956139e-02
3.061224e-02	1.948978e-01	2.022708e-02
6.122449e-02	9.263931e-02	3.730650e-02
9.183673e-02	-1.123473e-02	2.875158e-02
1.224490e-01	-1.481695e-01	3.187750e-02
1.530612e-01	-2.781832e-01	3.593404e-02
1.836735e-01	-2.764768e-01	6.026859e-02
2.142857e-01	-3.423838e-01	6.904241e-02
2.448980e-01	-3.427566e-01	5.776731e-02
2.755102e-01	-2.105714e-01	8.744696e-02
3.061224e-01	-1.139334e-01	7.979057e-02
3.367347e-01	-1.841123e-02	3.448288e-02
3.673469e-01	1.885657e-01	5.197276e-02
3.979592e-01	2.501737e-01	4.294938e-02
4.285714e-01	3.335332e-01	4.742575e-02
4.591837e-01	3.829191e-01	7.724591e-02
4.897959e-01	3.408661e-01	3.302302e-02
5.204082e-01	2.189879e-01	7.191151e-02
5.510204e-01	2.137401e-01	8.307484e-02
5.816327e-01	6.053536e-02	5.627999e-02
6.122449e-01	-5.033089e-02	7.439600e-02
6.428571e-01	-2.881360e-01	8.119057e-02
6.734694e-01	-2.813510e-01	4.677324e-02
7.040816e-01	-3.693326e-01	5.526672e-02
7.346939e-01	-2.772180e-01	9.379643e-02
7.653061e-01	-2.751449e-01	3.553106e-02
7.959184e-01	-1.370652e-01	4.352402e-02
8.265306e-01	7.635136e-03	8.853638e-02
8.571429e-01	1.274522e-01	5.519399e-02
8.877551e-01	1.919300e-01	4.979721e-02
9.183673e-01	3.313655e-01	5.094102e-02
9.489796e-01	3.165233e-01	3.166187e-02
9.795918e-01	3.612005e-01	4.064347e-02
1.010204e+00	3.021772e-01	4.417542e-02
1.040816e+00	1.939171e-01	2.661939e-02
1.071429e+00	5.605152e-02	4.862751e-02
1.102041e+00	-1.488650e-02	8.301277e-02
1.132653e+00	-2.061225e-01	4.088231e-02
1.163265e+00	-3.260822e-01	9.694484e-02
1.193878e+00	-3.253946e-01	2.184037e-02
1.224490e+00	-3.143291e-01	6.531754e-02
1.255102e+00	-3.292521e-01	9.409922e-02
1.285714e+00	-2.157479e-01	7.505411e-02
1.316327e+00	-1.524008e-01	8.404453e-02
1.346939e+00	8.662265e-02	5.134980e-02
1.377551e+00	1.998954e-01	4.742686e-02
1.408163e+00	2.864906e-01	2.943281e-02
1.438776e+00	2.778948e-01	9.390230e-02
1.469388e+00	3.383285e-01	9.153569e-02
1.500000e+00	3.234587e-01	3.983452e-02
